,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,33,2.55%,351,2.72%,3538,2.74%,34975,2.71%
Mediterranean Avenue,27,2.09%,275,2.13%,2573,1.99%,25979,2.01%
Community Chest,19,1.47%,266,2.06%,2509,1.94%,25468,1.97%
Baltic Avenue,19,1.47%,248,1.92%,2619,2.03%,26230,2.03%
Income Tax,30,2.32%,302,2.34%,2843,2.20%,28198,2.18%
Reading Railroad,41,3.17%,378,2.92%,4024,3.12%,40160,3.11%
Oriental Avenue,24,1.85%,269,2.08%,2702,2.09%,27256,2.11%
Chance,32,2.47%,284,2.20%,2814,2.18%,27925,2.16%
Vermont Avenue,35,2.70%,287,2.22%,2774,2.15%,28167,2.18%
Connecticut Avenue,25,1.93%,272,2.10%,2964,2.30%,28088,2.18%
Jail,91,7.03%,814,6.30%,8012,6.21%,81014,6.27%
St. Charles Place,23,1.78%,269,2.08%,2691,2.09%,27685,2.14%
Electric Company,22,1.70%,327,2.53%,3191,2.47%,32348,2.51%
States Avenue,29,2.24%,275,2.13%,2920,2.26%,28761,2.23%
Virginia Avenue,30,2.32%,318,2.46%,3040,2.36%,29594,2.29%
Pennsylvania Railroad,39,3.01%,337,2.61%,3284,2.54%,33003,2.56%
St. James Place,36,2.78%,300,2.32%,3242,2.51%,33083,2.56%
Community Chest,34,2.63%,342,2.65%,3355,2.60%,33934,2.63%
Tennessee Avenue,31,2.40%,338,2.62%,3398,2.63%,34113,2.64%
New York Avenue,35,2.70%,354,2.74%,3660,2.84%,36092,2.80%
Free Parking,31,2.40%,372,2.88%,3378,2.62%,34031,2.64%
Kentucky Avenue,40,3.09%,349,2.70%,3346,2.59%,33522,2.60%
Chance,31,2.40%,330,2.55%,3267,2.53%,33082,2.56%
Indiana Avenue,29,2.24%,281,2.17%,3278,2.54%,32211,2.49%
Illinois Avenue,44,3.40%,391,3.03%,3828,2.97%,38160,2.96%
B. & O. Railroad,33,2.55%,368,2.85%,3403,2.64%,34087,2.64%
Atlantic Avenue,38,2.94%,315,2.44%,3173,2.46%,31655,2.45%
Ventnor Avenue,35,2.70%,324,2.51%,3149,2.44%,31639,2.45%
Water Works,23,1.78%,295,2.28%,3243,2.51%,33014,2.56%
Marvin Gardens,30,2.32%,305,2.36%,3064,2.37%,30170,2.34%
Go To Jail,29,2.24%,299,2.31%,3078,2.39%,30672,2.38%
Pacific Avenue,31,2.40%,325,2.51%,3065,2.38%,31235,2.42%
North Carolina Avenue,36,2.78%,309,2.39%,3168,2.45%,30637,2.37%
Community Chest,38,2.94%,290,2.24%,3040,2.36%,30812,2.39%
Pennsylvania Avenue,19,1.47%,296,2.29%,2928,2.27%,28878,2.24%
Short Line,35,2.70%,333,2.58%,3408,2.64%,34252,2.65%
Chance,29,2.24%,273,2.11%,2709,2.10%,27226,2.11%
Park Place,27,2.09%,262,2.03%,2561,1.98%,25868,2.00%
Luxury Tax,26,2.01%,257,1.99%,2593,2.01%,26042,2.02%
Boardwalk,35,2.70%,344,2.66%,3215,2.49%,31832,2.47%
