,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,41,3.20%,363,2.81%,3473,2.70%,34868,2.70%
Mediterranean Avenue,20,1.56%,251,1.94%,2503,1.94%,25966,2.01%
Community Chest,28,2.19%,251,1.94%,2568,1.99%,25405,1.97%
Baltic Avenue,30,2.34%,268,2.07%,2665,2.07%,26210,2.03%
Income Tax,30,2.34%,295,2.28%,2837,2.20%,28372,2.20%
Reading Railroad,41,3.20%,418,3.23%,4084,3.17%,39903,3.09%
Oriental Avenue,24,1.88%,287,2.22%,2648,2.06%,27405,2.13%
Chance,20,1.56%,267,2.06%,2894,2.25%,27771,2.15%
Vermont Avenue,36,2.81%,250,1.93%,2785,2.16%,28024,2.17%
Connecticut Avenue,25,1.95%,282,2.18%,2745,2.13%,28184,2.19%
Jail,77,6.02%,799,6.18%,8109,6.29%,80606,6.25%
St. Charles Place,34,2.66%,292,2.26%,2695,2.09%,27728,2.15%
Electric Company,28,2.19%,335,2.59%,3209,2.49%,32142,2.49%
States Avenue,32,2.50%,289,2.23%,2854,2.22%,29101,2.26%
Virginia Avenue,31,2.42%,256,1.98%,3063,2.38%,29753,2.31%
Pennsylvania Railroad,35,2.73%,321,2.48%,3316,2.57%,33036,2.56%
St. James Place,40,3.13%,353,2.73%,3243,2.52%,32939,2.55%
Community Chest,32,2.50%,332,2.57%,3395,2.64%,33494,2.60%
Tennessee Avenue,19,1.48%,340,2.63%,3425,2.66%,34171,2.65%
New York Avenue,36,2.81%,374,2.89%,3635,2.82%,36169,2.81%
Free Parking,42,3.28%,329,2.54%,3373,2.62%,33527,2.60%
Kentucky Avenue,23,1.80%,336,2.60%,3262,2.53%,33269,2.58%
Chance,38,2.97%,346,2.68%,3251,2.52%,33101,2.57%
Indiana Avenue,27,2.11%,308,2.38%,3198,2.48%,32354,2.51%
Illinois Avenue,34,2.66%,391,3.02%,3862,3.00%,38210,2.96%
B. & O. Railroad,41,3.20%,345,2.67%,3337,2.59%,34000,2.64%
Atlantic Avenue,30,2.34%,324,2.51%,3175,2.46%,31657,2.46%
Ventnor Avenue,34,2.66%,299,2.31%,3166,2.46%,31721,2.46%
Water Works,28,2.19%,373,2.88%,3251,2.52%,32933,2.55%
Marvin Gardens,28,2.19%,284,2.20%,3072,2.38%,30149,2.34%
Go To Jail,21,1.64%,292,2.26%,3037,2.36%,30388,2.36%
Pacific Avenue,41,3.20%,286,2.21%,3137,2.44%,31275,2.43%
North Carolina Avenue,27,2.11%,305,2.36%,2993,2.32%,30616,2.37%
Community Chest,30,2.34%,298,2.30%,3079,2.39%,30469,2.36%
Pennsylvania Avenue,28,2.19%,302,2.34%,2907,2.26%,29302,2.27%
Short Line,45,3.52%,374,2.89%,3423,2.66%,34602,2.68%
Chance,29,2.27%,269,2.08%,2745,2.13%,26834,2.08%
Park Place,30,2.34%,263,2.03%,2666,2.07%,25696,1.99%
Luxury Tax,25,1.95%,251,1.94%,2565,1.99%,26220,2.03%
Boardwalk,20,1.56%,333,2.58%,3180,2.47%,31835,2.47%
