,"n 1,000",,"n 10,000",,"n 100,000",,"n 1,000,000",
,count,%,count,%,count,%,count,%
Go,39,3.54%,396,3.57%,1,14.29%,0,0.00%
Mediterranean Avenue,23,2.09%,242,2.18%,0,0.00%,0,0.00%
Community Chest,26,2.36%,263,2.37%,0,0.00%,0,0.00%
Baltic Avenue,31,2.81%,271,2.44%,0,0.00%,0,0.00%
Income Tax,25,2.27%,274,2.47%,0,0.00%,0,0.00%
Reading Railroad,41,3.72%,402,3.62%,1,14.29%,0,0.00%
Oriental Avenue,24,2.18%,270,2.43%,0,0.00%,0,0.00%
Chance,14,1.27%,88,0.79%,0,0.00%,0,0.00%
Vermont Avenue,18,1.63%,309,2.79%,0,0.00%,1,33.33%
Connecticut Avenue,28,2.54%,300,2.70%,1,14.29%,0,0.00%
Jail,42,3.81%,311,2.80%,0,0.00%,0,0.00%
St. Charles Place,34,3.08%,270,2.43%,0,0.00%,0,0.00%
Electric Company,33,2.99%,322,2.90%,0,0.00%,0,0.00%
States Avenue,33,2.99%,299,2.70%,0,0.00%,0,0.00%
Virginia Avenue,24,2.18%,306,2.76%,1,14.29%,0,0.00%
Pennsylvania Railroad,27,2.45%,320,2.88%,1,14.29%,0,0.00%
St. James Place,24,2.18%,323,2.91%,0,0.00%,1,33.33%
Community Chest,36,3.26%,312,2.81%,0,0.00%,0,0.00%
Tennessee Avenue,34,3.08%,337,3.04%,0,0.00%,0,0.00%
New York Avenue,38,3.45%,360,3.25%,1,14.29%,0,0.00%
Free Parking,39,3.54%,320,2.88%,0,0.00%,0,0.00%
Kentucky Avenue,30,2.72%,325,2.93%,0,0.00%,0,0.00%
Chance,15,1.36%,108,0.97%,0,0.00%,0,0.00%
Indiana Avenue,31,2.81%,335,3.02%,1,14.29%,0,0.00%
Illinois Avenue,32,2.90%,357,3.22%,0,0.00%,1,33.33%
B. & O. Railroad,33,2.99%,341,3.07%,1,14.29%,0,0.00%
Atlantic Avenue,30,2.72%,331,2.98%,0,0.00%,0,0.00%
Ventnor Avenue,38,3.45%,303,2.73%,0,0.00%,0,0.00%
Water Works,30,2.72%,345,3.11%,0,0.00%,0,0.00%
Marvin Gardens,23,2.09%,297,2.68%,0,0.00%,0,0.00%
Go To Jail,0,0.00%,0,0.00%,0,0.00%,0,0.00%
Pacific Avenue,32,2.90%,300,2.70%,0,0.00%,0,0.00%
North Carolina Avenue,42,3.81%,295,2.66%,0,0.00%,0,0.00%
Community Chest,24,2.18%,281,2.53%,0,0.00%,0,0.00%
Pennsylvania Avenue,30,2.72%,310,2.79%,0,0.00%,0,0.00%
Short Line,29,2.63%,344,3.10%,0,0.00%,0,0.00%
Chance,10,0.91%,88,0.79%,0,0.00%,0,0.00%
Park Place,24,2.18%,233,2.10%,0,0.00%,0,0.00%
Luxury Tax,28,2.54%,272,2.45%,0,0.00%,0,0.00%
Boardwalk,28,2.54%,328,2.96%,0,0.00%,0,0.00%
